session_id,trial_id,timestamp_wall,timestamp_mono,device_name,seq,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,roll,pitch,yaw,quat_x,quat_y,quat_z,quat_w
independent_20260430_071132,trial_001,1777504292.3922825,227083.3675254,R_Tibia,4,-4.766,-7.9338,3.3305,0.1831,-0.2441,0.4272,-67.3132,28.949,173.1445,0.1756,0.5481,0.7962,0.1865
independent_20260430_071132,trial_001,1777504292.3922825,227083.3676815,Trunk,7,-3.4501,-6.6227,-6.1776,0.4272,-0.1831,-0.7324,-133.1598,20.9015,119.6576,-0.3912,0.8164,0.2543,0.3403
independent_20260430_071132,trial_001,1777504292.3922825,227083.3678821,L_Femur,6,-3.1726,-7.7041,5.3163,-0.1831,-0.061,-0.2441,-54.8218,18.2922,-76.0474,-0.445,-0.1688,-0.5975,0.6453
independent_20260430_071132,trial_001,1777504292.3922825,227083.3680379,L_Tibia,8,0.134,-3.9717,9.1014,-0.1831,-0.1831,0.4883,-23.5931,-0.8514,40.2594,-0.1944,0.0635,0.3383,0.9185
independent_20260430_071132,trial_001,1777504292.3922825,227083.3681939,L_Foot,8,3.0481,-7.8764,-4.6464,-0.6104,-0.3052,0.2441,-121.745,-18.7811,36.6998,-0.843,0.1959,0.2865,0.4109
independent_20260430_071132,trial_001,1777504292.393284,227083.3683783,R_Femur,8,-9.7282,-0.6651,-0.2632,0.6714,-0.5493,-0.5493,-111.3794,85.7648,-98.0475,-0.6865,-0.2054,-0.6804,-0.1535
independent_20260430_071132,trial_001,1777504292.393284,227083.3688206,Trunk,8,-3.4501,-6.6274,-6.1776,0.4883,-0.1221,-0.7324,-133.1598,20.9015,119.6576,-0.3912,0.8164,0.2543,0.3403
independent_20260430_071132,trial_001,1777504292.393284,227083.3690026,L_Femur,7,-3.1678,-7.7041,5.3163,-0.1831,0.0,-0.1831,-54.8218,18.2922,-76.0419,-0.445,-0.1688,-0.5975,0.6454
independent_20260430_071132,trial_001,1777504292.3951218,227083.3708475,L_Foot,9,3.0529,-7.8812,-4.6464,-0.5493,-0.2441,0.3052,-121.7395,-18.7811,36.7108,-0.843,0.196,0.2865,0.411
independent_20260430_071132,trial_001,1777504292.3961325,227083.3710855,R_Femur,9,-9.7282,-0.6651,-0.268,0.6714,-0.4883,-0.4883,-111.3794,85.7648,-98.0475,-0.6865,-0.2054,-0.6804,-0.1535
independent_20260430_071132,trial_001,1777504292.3961325,227083.3712887,R_Tibia,5,-4.7708,-7.9242,3.3305,0.1831,-0.3052,0.3662,-67.3132,28.949,173.15,0.1756,0.5481,0.7962,0.1864
independent_20260430_071132,trial_001,1777504292.3961325,227083.3714784,R_Foot,4,-7.4888,-3.9334,-4.6368,0.4883,0.061,-0.1221,-139.444,50.9271,-37.5897,-0.8498,-0.1318,-0.4826,0.1663
independent_20260430_071132,trial_001,1777504292.3961325,227083.3716708,L_Femur,8,-3.1678,-7.7041,5.3115,-0.1831,-0.1221,-0.1831,-54.8273,18.2922,-76.0419,-0.445,-0.1688,-0.5975,0.6454
independent_20260430_071132,trial_001,1777504292.3961325,227083.371878,L_Tibia,9,0.1436,-3.9717,9.1014,-0.2441,-0.1831,0.4272,-23.5931,-0.8514,40.2594,-0.1944,0.0635,0.3383,0.9185
independent_20260430_071132,trial_001,1777504292.397129,227083.3720722,L_Foot,10,3.0481,-7.8812,-4.6512,-0.4883,-0.2441,0.3052,-121.7395,-18.7811,36.7218,-0.843,0.1961,0.2866,0.4109
independent_20260430_071132,trial_001,1777504292.397129,227083.3723116,R_Femur,10,-9.733,-0.6651,-0.2584,0.7324,-0.5493,-0.4883,-111.3849,85.7648,-98.0475,-0.6865,-0.2055,-0.6804,-0.1536
independent_20260430_071132,trial_001,1777504292.397129,227083.3725188,Trunk,9,-3.4501,-6.6227,-6.1776,0.4272,-0.1831,-0.7324,-133.1598,20.9015,119.6576,-0.3912,0.8164,0.2543,0.3403
independent_20260430_071132,trial_001,1777504292.397129,227083.3727225,L_Femur,9,-3.1678,-7.6945,5.3163,-0.1221,-0.1221,-0.2441,-54.8273,18.2922,-76.0364,-0.445,-0.1688,-0.5975,0.6454
independent_20260430_071132,trial_001,1777504292.397129,227083.3729202,L_Tibia,10,0.134,-3.9717,9.1014,-0.2441,-0.2441,0.4883,-23.5931,-0.8514,40.2594,-0.1944,0.0635,0.3383,0.9185
independent_20260430_071132,trial_001,1777504292.3981295,227083.373144,L_Foot,11,3.0529,-7.8764,-4.6512,-0.5493,-0.2441,0.3052,-121.7285,-18.7811,36.7218,-0.8429,0.1961,0.2866,0.411
independent_20260430_071132,trial_001,1777504292.3981295,227083.3733362,R_Femur,11,-9.7282,-0.6556,-0.2632,0.7324,-0.5493,-0.5493,-111.3849,85.7648,-98.053,-0.6865,-0.2055,-0.6804,-0.1536
independent_20260430_071132,trial_001,1777504292.3981295,227083.3735049,R_Tibia,6,-4.7708,-7.9242,3.3209,0.1221,-0.3052,0.3662,-67.3132,28.949,173.15,0.1756,0.5481,0.7962,0.1864
independent_20260430_071132,trial_001,1777504292.3981295,227083.3736926,R_Foot,5,-7.484,-3.9334,-4.6368,0.5493,0.1221,-0.1221,-139.444,50.9271,-37.5952,-0.8497,-0.1318,-0.4826,0.1663
independent_20260430_071132,trial_001,1777504292.3981295,227083.3739584,Trunk,10,-3.4501,-6.6274,-6.1776,0.4883,-0.1831,-0.7324,-133.1543,20.9015,119.6576,-0.3912,0.8164,0.2543,0.3404
independent_20260430_071132,trial_001,1777504292.3991308,227083.3741657,L_Femur,10,-3.1726,-7.6993,5.3115,-0.1831,-0.1221,-0.2441,-54.8273,18.2977,-76.0309,-0.445,-0.1687,-0.5974,0.6454
independent_20260430_071132,trial_001,1777504292.3991308,227083.3743518,L_Tibia,11,0.134,-3.9717,9.1014,-0.1831,-0.1831,0.4272,-23.5931,-0.8514,40.2594,-0.1944,0.0635,0.3383,0.9185
independent_20260430_071132,trial_001,1777504292.3991308,227083.3745762,L_Foot,12,3.0529,-7.8859,-4.6464,-0.6104,-0.1831,0.3052,-121.723,-18.7811,36.7328,-0.8429,0.1961,0.2866,0.411
independent_20260430_071132,trial_001,1777504292.3991308,227083.3747758,R_Femur,12,-9.7282,-0.6604,-0.2632,0.6714,-0.5493,-0.4883,-111.3849,85.7648,-98.053,-0.6865,-0.2055,-0.6804,-0.1536
independent_20260430_071132,trial_001,1777504292.3991308,227083.3749121,Trunk,11,-3.4501,-6.6227,-6.1729,0.4272,-0.1831,-0.7935,-133.1543,20.9015,119.6576,-0.3912,0.8164,0.2543,0.3404
independent_20260430_071132,trial_001,1777504292.3991308,227083.3750118,L_Femur,11,-3.1678,-7.6993,5.3067,-0.1221,-0.1221,-0.2441,-54.8218,18.2922,-76.0254,-0.445,-0.1687,-0.5974,0.6455
independent_20260430_071132,trial_001,1777504292.40013,227083.3751062,L_Tibia,12,0.1388,-3.9765,9.1062,-0.2441,-0.1831,0.4883,-23.5931,-0.8514,40.2594,-0.1944,0.0635,0.3383,0.9185
independent_20260430_071132,trial_001,1777504292.40013,227083.3751961,L_Foot,13,3.0529,-7.8812,-4.6512,-0.5493,-0.3052,0.3662,-121.723,-18.7811,36.7438,-0.8429,0.1962,0.2867,0.411
independent_20260430_071132,trial_001,1777504292.40013,227083.3753337,R_Femur,13,-9.7282,-0.6651,-0.268,0.6714,-0.5493,-0.4883,-111.3849,85.7648,-98.053,-0.6865,-0.2055,-0.6804,-0.1536
independent_20260430_071132,trial_001,1777504292.40013,227083.3754302,R_Tibia,7,-4.7756,-7.929,3.3209,0.1831,-0.3662,0.3662,-67.3132,28.949,173.15,0.1756,0.5481,0.7962,0.1864
independent_20260430_071132,trial_001,1777504292.40013,227083.3755173,R_Foot,6,-7.484,-3.9382,-4.6368,0.4883,0.0,-0.061,-139.4495,50.9271,-37.5952,-0.8498,-0.1319,-0.4826,0.1662
independent_20260430_071132,trial_001,1777504292.40013,227083.3756045,Trunk,12,-3.4501,-6.6227,-6.1729,0.4883,-0.1831,-0.7935,-133.1543,20.9015,119.6576,-0.3912,0.8164,0.2543,0.3404
independent_20260430_071132,trial_001,1777504292.40013,227083.3756892,L_Femur,12,-3.1726,-7.6993,5.3115,-0.1221,-0.061,-0.2441,-54.8218,18.2977,-76.0199,-0.445,-0.1687,-0.5974,0.6455
independent_20260430_071132,trial_001,1777504292.40013,227083.3757741,L_Tibia,13,0.134,-3.9669,9.1014,-0.2441,-0.2441,0.4272,-23.5931,-0.8514,40.2594,-0.1944,0.0635,0.3383,0.9185
independent_20260430_071132,trial_001,1777504292.40013,227083.3758584,L_Foot,14,3.0529,-7.8812,-4.6464,-0.5493,-0.2441,0.2441,-121.723,-18.7811,36.7493,-0.8428,0.1962,0.2867,0.411
independent_20260430_071132,trial_001,1777504292.40013,227083.3759416,R_Femur,14,-9.7282,-0.6651,-0.2632,0.7324,-0.5493,-0.4883,-111.3849,85.7648,-98.053,-0.6865,-0.2055,-0.6804,-0.1536
independent_20260430_071132,trial_001,1777504292.40013,227083.3760268,Trunk,13,-3.4453,-6.6274,-6.1729,0.4883,-0.1221,-0.7935,-133.1543,20.9015,119.6576,-0.3912,0.8164,0.2543,0.3404
independent_20260430_071132,trial_001,1777504292.4011297,227083.3761112,L_Femur,13,-3.1678,-7.6993,5.3115,-0.1831,0.0,-0.1831,-54.8218,18.2977,-76.0144,-0.445,-0.1687,-0.5973,0.6455
