Session_ID,Trial_ID,Subject_ID,Timestamp,IMU_Recv_Timestamp,IMU_Recv_Timestamp_Mono,IMU_Device_ID,IMU_Device_Name,IMU_Device_Seq,IMU_Parse_OK_Flag,IMU_Acc_X,IMU_Acc_Y,IMU_Acc_Z,IMU_Gyro_X,IMU_Gyro_Y,IMU_Gyro_Z,IMU_Roll,IMU_Pitch,IMU_Yaw,IMU_Quat_x,IMU_Quat_y,IMU_Quat_z,IMU_Quat_w
independent_20260430_182902,trial_001,subject_001,1777544943.3270488,1777544943.3270488,267734.9360193,12,L_Foot,11,1,-3.0386,6.7088,14.5756,-123.4131,9.2773,-38.6963,-2.3511,4.7845,-63.4296,-0.0394,0.0247,-0.5259,0.8493
independent_20260430_182902,trial_001,subject_001,1777544943.3270488,1777544943.3270488,267734.9361459,13,R_Femur,7,1,0.1531,9.1779,-1.627,39.4287,-30.0903,1.4648,65.4181,-17.3254,-169.2389,0.1763,0.52,-0.8358,-0.003
independent_20260430_182902,trial_001,subject_001,1777544943.3738995,1777544943.3738995,267734.9831688,10,L_Femur,12,1,-0.3063,8.5654,2.3064,3.9062,6.2866,-16.6626,-9.8492,-59.3152,33.6127,-0.214,-0.4504,0.291,0.8165
independent_20260430_182902,trial_001,subject_001,1777544943.3738995,1777544943.3738995,267734.9833026,11,L_Tibia,11,1,1.0623,8.7042,-3.3257,-148.6816,-27.0386,-53.6499,31.2341,-3.9551,158.5327,0.0175,-0.2705,0.9439,0.1884
independent_20260430_182902,trial_001,subject_001,1777544943.3738995,1777544943.3738995,267734.9834213,12,L_Foot,12,1,-3.3927,6.9768,12.963,-127.8687,27.0386,-54.1382,-4.3286,5.0812,-64.2151,-0.0555,0.0175,-0.532,0.8447
independent_20260430_182902,trial_001,subject_001,1777544943.3738995,1777544943.3738995,267734.9835357,13,R_Femur,8,1,0.0431,9.1875,-1.7514,44.1284,-32.8369,-0.1831,66.4673,-17.6331,-169.9695,0.1751,0.5283,-0.8307,-0.0114
independent_20260430_182902,trial_001,subject_001,1777544943.3738995,1777544943.3738995,267734.9836492,14,R_Tibia,6,1,0.3206,9.1014,-2.9381,26.1841,-14.6484,-1.709,86.7865,-78.7335,-80.2936,0.7032,-0.0099,-0.6953,0.1485
independent_20260430_182902,trial_001,subject_001,1777544943.3748996,1777544943.3748996,267734.9837592,15,R_Foot,5,1,0.5072,0.8039,9.9148,2.8687,-1.4648,-0.8545,4.6802,-4.79,-131.4404,0.0548,0.02,-0.9107,0.4089
independent_20260430_182902,trial_001,subject_001,1777544943.3748996,1777544943.3748996,267734.9838692,10,L_Femur,13,1,-0.5024,8.5894,2.4117,3.6621,3.9673,-16.1133,-8.9923,-60.282,31.7175,-0.202,-0.463,0.2735,0.8186
independent_20260430_182902,trial_001,subject_001,1777544943.3748996,1777544943.3748996,267734.9839786,11,L_Tibia,12,1,0.4881,8.3932,-2.1342,-129.8828,-17.1509,-48.7671,27.5372,-4.2517,155.8301,0.0146,-0.2401,0.9472,0.2118
independent_20260430_182902,trial_001,subject_001,1777544943.3748996,1777544943.3748996,267734.9840832,12,L_Foot,13,1,-3.5793,7.2639,12.0825,-130.249,40.2832,-70.4956,-6.3666,5.5536,-65.2863,-0.0728,0.0108,-0.5402,0.8383
independent_20260430_182902,trial_001,subject_001,1777544943.3748996,1777544943.3748996,267734.9841818,13,R_Femur,9,1,0.0335,9.2832,-1.603,44.3726,-35.1562,-1.8921,67.2858,-17.8473,-170.5573,0.1737,0.5348,-0.8267,-0.018
independent_20260430_182902,trial_001,subject_001,1777544943.3748996,1777544943.3748996,267734.9842747,10,L_Femur,14,1,-1.2441,8.4841,2.4835,1.77,-8.0566,-14.2822,-7.8113,-61.7816,29.0588,-0.1851,-0.4812,0.2486,0.82
independent_20260430_182902,trial_001,subject_001,1777544943.3748996,1777544943.3748996,267734.9843658,11,L_Tibia,13,1,-0.1101,7.9769,-1.7944,-113.8306,-26.6724,-43.0298,25.0598,-4.6857,153.924,0.01,-0.2202,0.9482,0.2287
independent_20260430_182902,trial_001,subject_001,1777544943.3748996,1777544943.3748996,267734.9844583,12,L_Foot,14,1,-2.651,7.4218,8.9913,-123.6572,43.9453,-84.6558,-9.0912,6.1963,-67.0386,-0.0957,0.0012,-0.5532,0.8275
independent_20260430_182902,trial_001,subject_001,1777544943.3748996,1777544943.3748996,267734.9845497,13,R_Femur,10,1,0.1627,9.4603,-1.3877,43.7012,-38.5132,-3.2959,68.3954,-18.111,-171.4197,0.1713,0.5438,-0.8211,-0.0271
independent_20260430_182902,trial_001,subject_001,1777544943.3748996,1777544943.3748996,267734.9846402,15,R_Foot,6,1,0.6029,0.7417,9.7856,6.2866,-1.2207,-1.2207,4.7571,-4.8065,-131.4569,0.0552,0.0206,-0.9107,0.4088
independent_20260430_182902,trial_001,subject_001,1777544943.4432075,1777544943.4432075,267735.0529586,10,L_Femur,15,1,-2.2203,8.5606,2.3352,1.5869,-19.7754,-12.9395,-6.9214,-63.0231,27.1033,-0.1723,-0.4951,0.2301,0.8199
independent_20260430_182902,trial_001,subject_001,1777544943.4442217,1777544943.4442217,267735.0532151,13,R_Femur,11,1,0.2488,9.5799,-1.2968,42.2974,-40.2832,-3.3569,69.2139,-18.3087,-172.1063,0.1692,0.5504,-0.8169,-0.0342
independent_20260430_182902,trial_001,subject_001,1777544943.4442217,1777544943.4442217,267735.0533634,10,L_Femur,16,1,-2.7419,8.4793,2.5026,5.0049,-35.5225,-13.4277,-5.8777,-64.4843,25.0763,-0.158,-0.5107,0.2101,0.8186
independent_20260430_182902,trial_001,subject_001,1777544943.4442217,1777544943.4442217,267735.0535017,11,L_Tibia,14,1,-0.914,7.6084,-1.2489,-76.1108,-58.4717,-28.8696,20.3027,-6.7456,149.5844,-0.0097,-0.185,0.9455,0.2678
independent_20260430_182902,trial_001,subject_001,1777544943.4442217,1777544943.4442217,267735.0536042,12,L_Foot,15,1,-0.512,7.9386,6.4887,-83.6792,25.4517,-76.2939,-12.2882,6.6852,-69.6313,-0.1208,-0.0134,-0.5718,0.8113
independent_20260430_182902,trial_001,subject_001,1777544943.4442217,1777544943.4442217,267735.0537048,13,R_Femur,12,1,0.2871,9.5081,-1.2106,42.4194,-40.7104,-3.479,70.0543,-18.4955,-172.8259,0.1668,0.5572,-0.8124,-0.0415
independent_20260430_182902,trial_001,subject_001,1777544943.4442217,1777544943.4442217,267735.0538017,14,R_Tibia,7,1,0.5407,9.0296,-2.852,36.2549,-19.4092,-7.5073,97.0862,-78.2062,-89.2419,0.7073,0.1113,-0.6973,0.0337
independent_20260430_182902,trial_001,subject_001,1777544943.4442217,1777544943.4442217,267735.0538957,15,R_Foot,7,1,0.5742,0.847,9.9723,8.7891,-1.2207,-1.4648,5.0153,-4.8615,-131.5009,0.0566,0.0225,-0.9108,0.4083
independent_20260430_182902,trial_001,subject_001,1777544943.4442217,1777544943.4442217,267735.0539896,11,L_Tibia,15,1,-0.4498,7.0964,-1.0336,-52.9785,-68.5425,-22.583,18.8031,-8.0969,147.8046,-0.0217,-0.1759,0.9423,0.2839
independent_20260430_182902,trial_001,subject_001,1777544943.4452195,1777544943.4452195,267735.054083,12,L_Foot,16,1,-0.4259,8.1539,6.4025,-60.1807,16.9067,-64.8193,-13.7823,6.7511,-71.0596,-0.1314,-0.022,-0.5817,0.8024
independent_20260430_182902,trial_001,subject_001,1777544943.4452195,1777544943.4452195,267735.0541773,13,R_Femur,13,1,0.3637,9.3837,-1.4451,45.9595,-41.8091,-4.2725,71.2299,-18.7262,-173.7927,0.1632,0.5666,-0.8061,-0.0512
independent_20260430_182902,trial_001,subject_001,1777544943.4637363,1777544943.4637363,267735.0729398,10,L_Femur,17,1,-2.3208,8.2975,3.0864,19.4092,-56.3354,-13.4277,-2.2192,-68.5217,19.4183,-0.1107,-0.5521,0.1501,0.8127
